Sub-Awardee Name,Sub-Awardee Description,Sub-Awardee Average Amount,Sub-Awardee Count
OPTICAL SCIENCES CORPORATION,"The contractor shall provide the following services in support of the S3I Directorate:
 3.1. Support the Strategic Defense Branch with the development of missile Radar Cross Section model development, integration and analysis support. This work shall include:
 3.1.1. The contractor shall support the planning, development, and implementation of specialized software/hardware elements necessary for the creation of the non-real time and real time Hypersonic Threat Sensor Technology Scene Projector (HTST-SP) HWIL capability for multi-spectrum missile simulation element facilities. (IAW PWS Para. 2.0.2, 2.1.1, 2.1.2
 3.1.2. The contractor will support the HTST-SP HWIL to integrate and interface various seekers/sensors, target/environment signatures, and countermeasure hardware/software into target generation systems. (IAW PWS Para. 2.0.2, 2.2.2, 2.2.4)
 3.1.3. The contractor will perform analysis to assess and evaluate missile threats, missile capabilities. (IAW PWS Para. 2.0.2, 2.1.3, 2.1.6)
 3.1.4. The contractor will support the development of advanced tactical missile system algorithms. (IAW PWS Para. 2.1.3, 2.2.2, 2.2.4)",120992.96,9
"PLASMA PROCESSES, LLC",SERVICE PLASMA PROCESSES,296968.0,3
MATERIALS RESEARCH & DESIGN INC,MR&D MACH RULES SUBCONTRACT,374191.0,2
"TRI MODELS, INC.",Ground Test Article  Ground Test Article (Live Fi,139452.46,2
"HYSONIC TECHNOLOGIES, LLC",NRE - Other.,99400.0,2
"REGAL TECHNOLOGY PARTNERS, INC.",HARNESS  KIT  WIRE HARNESS,36362.85,1
"PLASMA PROCESSES, LLC",A07922250-001 A07922245-001,150960.0,1
"PLASMA PROCESSES, LLC",A07922250-001A07922245-001,60900.0,1
"PLASMA PROCESSES, LLC",AC355550N/720,37950.0,1
"REGAL TECHNOLOGY PARTNERS, INC.",BACKSHELL  BACKSHELL  EMI/RFI  BACKSHELL  STRAIGH,111278.77,1
